Time,	1.1_Topic 1.1,	1.1_RawVal,	1.1_Scale_Factor,	1.1_ScaledVal,	1.2Topic 1.2,	1.2_RawVal,	1.2_Scale_Factor,	1.2_ScaledVal,	2.1_Topic 2.1,	2.1_RawVal,	2.1_Scale_Factor,	2.1_ScaledVal,	2.2_Topic 2.2,	2.2_RawVal,	2.2_Scale_Factor,	2.2_ScaledVal,
1652372780761,	Topic 1.1,	3014704,	2,	6029408.0,	Topic 1.2,	2752556,	1,	2752556.0,	Topic 2.1,	3014704,	0.5,	1507352.0,	Topic 2.2,	2752556,	1.5,	4128834.0,	
1652372780862,	Topic 1.1,	3145777,	2,	6291554.0,	Topic 1.2,	2949163,	1,	2949163.0,	Topic 2.1,	3145777,	0.5,	1572888.5,	Topic 2.2,	2949163,	1.5,	4423744.5,	
1652372780963,	Topic 1.1,	2818093,	2,	5636186.0,	Topic 1.2,	2949161,	1,	2949161.0,	Topic 2.1,	2818093,	0.5,	1409046.5,	Topic 2.2,	2949161,	1.5,	4423741.5,	
1652372781065,	Topic 1.1,	2752557,	2,	5505114.0,	Topic 1.2,	3080236,	1,	3080236.0,	Topic 2.1,	2752557,	0.5,	1376278.5,	Topic 2.2,	3080236,	1.5,	4620354.0,	
1652372781166,	Topic 1.1,	2883630,	2,	5767260.0,	Topic 1.2,	2818093,	1,	2818093.0,	Topic 2.1,	2883630,	0.5,	1441815.0,	Topic 2.2,	2818093,	1.5,	4227139.5,	
1652372781267,	Topic 1.1,	3080237,	2,	6160474.0,	Topic 1.2,	3014701,	1,	3014701.0,	Topic 2.1,	3080237,	0.5,	1540118.5,	Topic 2.2,	3014701,	1.5,	4522051.5,	
1652372781368,	Topic 1.1,	3014698,	2,	6029396.0,	Topic 1.2,	2752553,	1,	2752553.0,	Topic 2.1,	3014698,	0.5,	1507349.0,	Topic 2.2,	2752553,	1.5,	4128829.5,	
1652372781470,	Topic 1.1,	3014697,	2,	6029394.0,	Topic 1.2,	2818091,	1,	2818091.0,	Topic 2.1,	3014697,	0.5,	1507348.5,	Topic 2.2,	2818091,	1.5,	4227136.5,	
1652372781571,	Topic 1.1,	3080237,	2,	6160474.0,	Topic 1.2,	3014703,	1,	3014703.0,	Topic 2.1,	3080237,	0.5,	1540118.5,	Topic 2.2,	3014703,	1.5,	4522054.5,	
1652372781675,	Topic 1.1,	2687022,	2,	5374044.0,	Topic 1.2,	2883625,	1,	2883625.0,	Topic 2.1,	2687022,	0.5,	1343511.0,	Topic 2.2,	2883625,	1.5,	4325437.5,	
1652372781773,	Topic 1.1,	3014699,	2,	6029398.0,	Topic 1.2,	3080234,	1,	3080234.0,	Topic 2.1,	3014699,	0.5,	1507349.5,	Topic 2.2,	3080234,	1.5,	4620351.0,	
1652372781874,	Topic 1.1,	3080235,	2,	6160470.0,	Topic 1.2,	2949163,	1,	2949163.0,	Topic 2.1,	3080235,	0.5,	1540117.5,	Topic 2.2,	2949163,	1.5,	4423744.5,	
1652372781975,	Topic 1.1,	3080240,	2,	6160480.0,	Topic 1.2,	2752556,	1,	2752556.0,	Topic 2.1,	3080240,	0.5,	1540120.0,	Topic 2.2,	2752556,	1.5,	4128834.0,	
1652372782077,	Topic 1.1,	2818091,	2,	5636182.0,	Topic 1.2,	2949162,	1,	2949162.0,	Topic 2.1,	2818091,	0.5,	1409045.5,	Topic 2.2,	2949162,	1.5,	4423743.0,	
1652372782179,	Topic 1.1,	3014702,	2,	6029404.0,	Topic 1.2,	3145775,	1,	3145775.0,	Topic 2.1,	3014702,	0.5,	1507351.0,	Topic 2.2,	3145775,	1.5,	4718662.5,	
1652372782280,	Topic 1.1,	2883631,	2,	5767262.0,	Topic 1.2,	3014700,	1,	3014700.0,	Topic 2.1,	2883631,	0.5,	1441815.5,	Topic 2.2,	3014700,	1.5,	4522050.0,	
1652372782381,	Topic 1.1,	2752556,	2,	5505112.0,	Topic 1.2,	2752554,	1,	2752554.0,	Topic 2.1,	2752556,	0.5,	1376278.0,	Topic 2.2,	2752554,	1.5,	4128831.0,	
1652372782482,	Topic 1.1,	2949167,	2,	5898334.0,	Topic 1.2,	2818090,	1,	2818090.0,	Topic 2.1,	2949167,	0.5,	1474583.5,	Topic 2.2,	2818090,	1.5,	4227135.0,	
1652372782583,	Topic 1.1,	3014700,	2,	6029400.0,	Topic 1.2,	3014702,	1,	3014702.0,	Topic 2.1,	3014700,	0.5,	1507350.0,	Topic 2.2,	3014702,	1.5,	4522053.0,	
1652372782685,	Topic 1.1,	2949163,	2,	5898326.0,	Topic 1.2,	3014700,	1,	3014700.0,	Topic 2.1,	2949163,	0.5,	1474581.5,	Topic 2.2,	3014700,	1.5,	4522050.0,	
1652372782786,	Topic 1.1,	3080235,	2,	6160470.0,	Topic 1.2,	3145772,	1,	3145772.0,	Topic 2.1,	3080235,	0.5,	1540117.5,	Topic 2.2,	3145772,	1.5,	4718658.0,	
1652372782887,	Topic 1.1,	2949164,	2,	5898328.0,	Topic 1.2,	2949165,	1,	2949165.0,	Topic 2.1,	2949164,	0.5,	1474582.0,	Topic 2.2,	2949165,	1.5,	4423747.5,	
1652372782988,	Topic 1.1,	2818096,	2,	5636192.0,	Topic 1.2,	2883629,	1,	2883629.0,	Topic 2.1,	2818096,	0.5,	1409048.0,	Topic 2.2,	2883629,	1.5,	4325443.5,	
1652372783092,	Topic 1.1,	3014704,	2,	6029408.0,	Topic 1.2,	2687022,	1,	2687022.0,	Topic 2.1,	3014704,	0.5,	1507352.0,	Topic 2.2,	2687022,	1.5,	4030533.0,	
1652372783191,	Topic 1.1,	2883629,	2,	5767258.0,	Topic 1.2,	3014698,	1,	3014698.0,	Topic 2.1,	2883629,	0.5,	1441814.5,	Topic 2.2,	3014698,	1.5,	4522047.0,	
1652372783292,	Topic 1.1,	3014702,	2,	6029404.0,	Topic 1.2,	2752555,	1,	2752555.0,	Topic 2.1,	3014702,	0.5,	1507351.0,	Topic 2.2,	2752555,	1.5,	4128832.5,	
1652372783393,	Topic 1.1,	3014704,	2,	6029408.0,	Topic 1.2,	3145775,	1,	3145775.0,	Topic 2.1,	3014704,	0.5,	1507352.0,	Topic 2.2,	3145775,	1.5,	4718662.5,	
1652372783495,	Topic 1.1,	3080238,	2,	6160476.0,	Topic 1.2,	2752559,	1,	2752559.0,	Topic 2.1,	3080238,	0.5,	1540119.0,	Topic 2.2,	2752559,	1.5,	4128838.5,	
1652372783597,	Topic 1.1,	3014701,	2,	6029402.0,	Topic 1.2,	2687023,	1,	2687023.0,	Topic 2.1,	3014701,	0.5,	1507350.5,	Topic 2.2,	2687023,	1.5,	4030534.5,	
1652372783696,	Topic 1.1,	2687025,	2,	5374050.0,	Topic 1.2,	3080238,	1,	3080238.0,	Topic 2.1,	2687025,	0.5,	1343512.5,	Topic 2.2,	3080238,	1.5,	4620357.0,	
1652372783798,	Topic 1.1,	3014702,	2,	6029404.0,	Topic 1.2,	2949170,	1,	2949170.0,	Topic 2.1,	3014702,	0.5,	1507351.0,	Topic 2.2,	2949170,	1.5,	4423755.0,	
1652372783899,	Topic 1.1,	2752557,	2,	5505114.0,	Topic 1.2,	2752553,	1,	2752553.0,	Topic 2.1,	2752557,	0.5,	1376278.5,	Topic 2.2,	2752553,	1.5,	4128829.5,	
1652372784001,	Topic 1.1,	2818091,	2,	5636182.0,	Topic 1.2,	3014698,	1,	3014698.0,	Topic 2.1,	2818091,	0.5,	1409045.5,	Topic 2.2,	3014698,	1.5,	4522047.0,	
1652372784102,	Topic 1.1,	3014700,	2,	6029400.0,	Topic 1.2,	2883629,	1,	2883629.0,	Topic 2.1,	3014700,	0.5,	1507350.0,	Topic 2.2,	2883629,	1.5,	4325443.5,	
1652372784203,	Topic 1.1,	3014702,	2,	6029404.0,	Topic 1.2,	3080234,	1,	3080234.0,	Topic 2.1,	3014702,	0.5,	1507351.0,	Topic 2.2,	3080234,	1.5,	4620351.0,	
1652372784304,	Topic 1.1,	2949164,	2,	5898328.0,	Topic 1.2,	3014701,	1,	3014701.0,	Topic 2.1,	2949164,	0.5,	1474582.0,	Topic 2.2,	3014701,	1.5,	4522051.5,	
1652372784406,	Topic 1.1,	2752558,	2,	5505116.0,	Topic 1.2,	3014702,	1,	3014702.0,	Topic 2.1,	2752558,	0.5,	1376279.0,	Topic 2.2,	3014702,	1.5,	4522053.0,	
1652372784507,	Topic 1.1,	2752556,	2,	5505112.0,	Topic 1.2,	3014701,	1,	3014701.0,	Topic 2.1,	2752556,	0.5,	1376278.0,	Topic 2.2,	3014701,	1.5,	4522051.5,	
1652372784608,	Topic 1.1,	3145773,	2,	6291546.0,	Topic 1.2,	2818091,	1,	2818091.0,	Topic 2.1,	3145773,	0.5,	1572886.5,	Topic 2.2,	2818091,	1.5,	4227136.5,	
1652372784709,	Topic 1.1,	2949167,	2,	5898334.0,	Topic 1.2,	2949166,	1,	2949166.0,	Topic 2.1,	2949167,	0.5,	1474583.5,	Topic 2.2,	2949166,	1.5,	4423749.0,	
1652372784810,	Topic 1.1,	3145774,	2,	6291548.0,	Topic 1.2,	2883628,	1,	2883628.0,	Topic 2.1,	3145774,	0.5,	1572887.0,	Topic 2.2,	2883628,	1.5,	4325442.0,	
1652372784912,	Topic 1.1,	3014698,	2,	6029396.0,	Topic 1.2,	3145767,	1,	3145767.0,	Topic 2.1,	3014698,	0.5,	1507349.0,	Topic 2.2,	3145767,	1.5,	4718650.5,	
1652372785013,	Topic 1.1,	3014698,	2,	6029396.0,	Topic 1.2,	2949161,	1,	2949161.0,	Topic 2.1,	3014698,	0.5,	1507349.0,	Topic 2.2,	2949161,	1.5,	4423741.5,	
1652372785115,	Topic 1.1,	2949169,	2,	5898338.0,	Topic 1.2,	3145770,	1,	3145770.0,	Topic 2.1,	2949169,	0.5,	1474584.5,	Topic 2.2,	3145770,	1.5,	4718655.0,	
1652372785216,	Topic 1.1,	3145769,	2,	6291538.0,	Topic 1.2,	3080234,	1,	3080234.0,	Topic 2.1,	3145769,	0.5,	1572884.5,	Topic 2.2,	3080234,	1.5,	4620351.0,	
1652372785317,	Topic 1.1,	2818093,	2,	5636186.0,	Topic 1.2,	2949161,	1,	2949161.0,	Topic 2.1,	2818093,	0.5,	1409046.5,	Topic 2.2,	2949161,	1.5,	4423741.5,	
1652372785417,	Topic 1.1,	2949164,	2,	5898328.0,	Topic 1.2,	2949162,	1,	2949162.0,	Topic 2.1,	2949164,	0.5,	1474582.0,	Topic 2.2,	2949162,	1.5,	4423743.0,	
1652372785519,	Topic 1.1,	2883629,	2,	5767258.0,	Topic 1.2,	2818091,	1,	2818091.0,	Topic 2.1,	2883629,	0.5,	1441814.5,	Topic 2.2,	2818091,	1.5,	4227136.5,	
1652372785621,	Topic 1.1,	2883629,	2,	5767258.0,	Topic 1.2,	2818095,	1,	2818095.0,	Topic 2.1,	2883629,	0.5,	1441814.5,	Topic 2.2,	2818095,	1.5,	4227142.5,	
1652372785722,	Topic 1.1,	2818095,	2,	5636190.0,	Topic 1.2,	3080235,	1,	3080235.0,	Topic 2.1,	2818095,	0.5,	1409047.5,	Topic 2.2,	3080235,	1.5,	4620352.5,	
1652372785822,	Topic 1.1,	2818093,	2,	5636186.0,	Topic 1.2,	3145772,	1,	3145772.0,	Topic 2.1,	2818093,	0.5,	1409046.5,	Topic 2.2,	3145772,	1.5,	4718658.0,	
1652372785924,	Topic 1.1,	3014700,	2,	6029400.0,	Topic 1.2,	2752554,	1,	2752554.0,	Topic 2.1,	3014700,	0.5,	1507350.0,	Topic 2.2,	2752554,	1.5,	4128831.0,	
1652372786025,	Topic 1.1,	2752555,	2,	5505110.0,	Topic 1.2,	2883626,	1,	2883626.0,	Topic 2.1,	2752555,	0.5,	1376277.5,	Topic 2.2,	2883626,	1.5,	4325439.0,	
1652372786127,	Topic 1.1,	2949165,	2,	5898330.0,	Topic 1.2,	2949168,	1,	2949168.0,	Topic 2.1,	2949165,	0.5,	1474582.5,	Topic 2.2,	2949168,	1.5,	4423752.0,	
1652372786228,	Topic 1.1,	2883626,	2,	5767252.0,	Topic 1.2,	3080236,	1,	3080236.0,	Topic 2.1,	2883626,	0.5,	1441813.0,	Topic 2.2,	3080236,	1.5,	4620354.0,	
1652372786329,	Topic 1.1,	2883630,	2,	5767260.0,	Topic 1.2,	3014697,	1,	3014697.0,	Topic 2.1,	2883630,	0.5,	1441815.0,	Topic 2.2,	3014697,	1.5,	4522045.5,	
1652372786430,	Topic 1.1,	2949165,	2,	5898330.0,	Topic 1.2,	2949168,	1,	2949168.0,	Topic 2.1,	2949165,	0.5,	1474582.5,	Topic 2.2,	2949168,	1.5,	4423752.0,	
1652372786532,	Topic 1.1,	2883628,	2,	5767256.0,	Topic 1.2,	2818095,	1,	2818095.0,	Topic 2.1,	2883628,	0.5,	1441814.0,	Topic 2.2,	2818095,	1.5,	4227142.5,	
1652372786632,	Topic 1.1,	2818093,	2,	5636186.0,	Topic 1.2,	2949167,	1,	2949167.0,	Topic 2.1,	2818093,	0.5,	1409046.5,	Topic 2.2,	2949167,	1.5,	4423750.5,	
1652372786734,	Topic 1.1,	3145771,	2,	6291542.0,	Topic 1.2,	2818094,	1,	2818094.0,	Topic 2.1,	3145771,	0.5,	1572885.5,	Topic 2.2,	2818094,	1.5,	4227141.0,	
1652372786835,	Topic 1.1,	2818090,	2,	5636180.0,	Topic 1.2,	2818093,	1,	2818093.0,	Topic 2.1,	2818090,	0.5,	1409045.0,	Topic 2.2,	2818093,	1.5,	4227139.5,	
1652372786937,	Topic 1.1,	3014702,	2,	6029404.0,	Topic 1.2,	3014702,	1,	3014702.0,	Topic 2.1,	3014702,	0.5,	1507351.0,	Topic 2.2,	3014702,	1.5,	4522053.0,	
1652372787037,	Topic 1.1,	2687023,	2,	5374046.0,	Topic 1.2,	2818093,	1,	2818093.0,	Topic 2.1,	2687023,	0.5,	1343511.5,	Topic 2.2,	2818093,	1.5,	4227139.5,	
1652372787139,	Topic 1.1,	2949164,	2,	5898328.0,	Topic 1.2,	2949166,	1,	2949166.0,	Topic 2.1,	2949164,	0.5,	1474582.0,	Topic 2.2,	2949166,	1.5,	4423749.0,	
1652372787240,	Topic 1.1,	3080238,	2,	6160476.0,	Topic 1.2,	2687022,	1,	2687022.0,	Topic 2.1,	3080238,	0.5,	1540119.0,	Topic 2.2,	2687022,	1.5,	4030533.0,	
1652372787342,	Topic 1.1,	3145773,	2,	6291546.0,	Topic 1.2,	2949164,	1,	2949164.0,	Topic 2.1,	3145773,	0.5,	1572886.5,	Topic 2.2,	2949164,	1.5,	4423746.0,	
